date,nav
2024-06-14,35959.32
2024-06-17,35868.24
2024-06-18,36153.53
2024-06-19,36284.14
2024-06-20,36184.72
2024-06-21,36364.85
2024-06-24,36433.89
2024-06-25,36738.04
2024-06-26,36590.52
2024-06-27,36544.98
2024-06-28,36482.06
2024-07-01,36130.01
2024-07-02,36251.82
2024-07-03,36364.63
2024-07-04,36408.91
2024-07-05,36388.67
2024-07-08,36050.48
2024-07-09,35980.81
2024-07-10,35932.01
2024-07-11,35761.09
2024-07-12,35760.61
2024-07-15,35909.73
2024-07-16,36453.32
2024-07-17,36543.43
2024-07-18,36656.2
2024-07-19,36679.26
2024-07-22,36201.73
2024-07-23,36237.35
2024-07-24,36296.26
2024-07-25,37000.7
2024-07-26,36991.69
2024-07-29,37117.88
2024-07-30,37152.15
2024-07-31,36874.69
2024-08-01,37230.05
2024-08-02,37481.14
2024-08-05,37744.77
2024-08-06,37535.3
2024-08-07,37969.24
2024-08-08,37620.16
2024-08-09,37827.92
2024-08-12,38485.73
2024-08-13,38249.04
2024-08-14,38133.89
2024-08-15,38207.01
2024-08-16,38109.74
2024-08-19,37717.41
2024-08-20,37781.05
2024-08-21,37528.63
2024-08-22,37704.44
2024-08-23,37492.4
2024-08-26,37966.66
2024-08-27,37791.4
2024-08-28,37745.93
2024-08-29,38017.7
2024-08-30,37716.28
2024-09-02,37824.27
2024-09-03,38234.77
2024-09-04,37825.07
2024-09-05,37921.39
2024-09-06,38039.06
2024-09-09,38304.02
2024-09-10,37998.61
2024-09-11,37672.15
2024-09-12,37862.11
2024-09-13,37989.99
2024-09-16,38105.24
2024-09-17,38247.9
2024-09-18,38100.56
2024-09-19,38211.0
2024-09-20,38338.96
2024-09-23,38181.53
2024-09-24,38753.75
2024-09-25,38935.36
2024-09-26,38638.06
2024-09-27,38871.38
2024-09-30,38636.88
2024-10-01,38907.51
2024-10-02,39287.0
2024-10-03,39094.77
2024-10-04,39419.6
2024-10-07,39586.53
2024-10-08,39874.06
2024-10-09,40480.79
2024-10-10,40455.05
2024-10-11,40277.14
2024-10-14,40059.55
2024-10-15,39864.98
2024-10-16,39889.28
2024-10-17,40037.05
2024-10-18,40166.27
2024-10-21,40459.53
2024-10-22,40511.16
2024-10-23,40994.71
2024-10-24,40962.8
2024-10-25,41835.68
2024-10-28,42078.75
2024-10-29,41861.5
2024-10-30,41579.16
2024-10-31,41776.67
2024-11-01,41756.88
2024-11-04,42026.78
2024-11-05,42223.55
2024-11-06,42250.62
2024-11-07,42035.72
2024-11-08,41614.11
2024-11-11,41525.71
2024-11-12,41837.87
2024-11-13,41953.53
2024-11-14,41616.28
2024-11-15,41718.72
2024-11-18,41886.91
2024-11-19,41662.37
2024-11-20,41758.93
2024-11-21,41826.19
2024-11-22,41521.78
2024-11-25,41680.71
2024-11-26,41902.86
2024-11-27,42288.14
2024-11-28,42667.81
2024-11-29,42283.17
2024-12-02,42039.62
2024-12-03,42249.45
2024-12-04,42459.94
2024-12-05,42671.87
2024-12-06,43938.81
2024-12-09,44176.28
2024-12-10,44599.63
2024-12-11,44967.11
2024-12-12,45236.93
2024-12-13,45184.77
2024-12-16,45491.86
2024-12-17,45285.38
2024-12-18,45259.45
2024-12-19,45150.3
2024-12-20,45230.93
2024-12-23,46059.04
2024-12-24,45476.96
2024-12-25,45761.57
2024-12-26,45269.45
2024-12-27,45164.77
2024-12-30,45582.01
2024-12-31,45657.48
2025-01-01,45347.22
2025-01-02,45160.7
2025-01-03,45441.1
2025-01-06,45249.13
2025-01-07,45375.0
2025-01-08,45443.85
2025-01-09,45278.35
2025-01-10,46050.13
2025-01-13,46320.49
2025-01-14,45680.98
2025-01-15,45797.91
2025-01-16,45627.67
2025-01-17,45969.33
2025-01-20,45753.98
2025-01-21,45769.13
2025-01-22,45994.17
2025-01-23,46343.11
2025-01-24,45986.16
2025-01-27,45926.6
2025-01-28,45819.38
2025-01-29,45651.92
2025-01-30,46302.21
2025-01-31,46495.6
2025-02-03,46116.64
2025-02-04,46484.29
2025-02-05,47269.13
2025-02-06,47686.05
2025-02-07,47206.17
2025-02-10,47092.72
2025-02-11,47589.79
2025-02-12,47396.73
2025-02-13,47608.32
2025-02-14,47937.41
